damage,enemies,structures_destroyed,danger_percent
102,0,1,20.32
435,2,7,86.7
270,25,0,52.79
106,30,7,89.13
71,25,2,52.09
20,22,8,81.57
121,29,1,51.93
466,9,8,100.0
214,7,5,63.73
330,43,0,72.99
458,24,4,87.24
87,21,8,81.04
372,14,5,73.05
99,40,6,94.67
130,9,3,43.1
308,19,0,47.35
343,40,4,99.3
491,22,1,76.69
413,0,7,79.1
385,1,3,52.87
191,18,0,41.5
276,13,6,76.19
160,7,1,35.94
459,37,2,92.33
313,11,8,98.23
21,25,8,79.78
252,26,1,59.93
560,28,2,88.83
474,14,8,100.0
58,45,0,56.73
510,0,1,48.46
475,42,1,92.3
189,27,2,64.27
562,2,2,57.74
566,17,1,78.91
243,33,7,100.0
504,31,7,100.0
130,28,7,93.31
484,24,1,71.65
20,25,8,83.57
166,38,6,96.59
273,7,4,50.99
387,18,6,91.25
600,41,7,100.0
315,21,8,100.0
13,28,1,42.07
241,32,5,94.63
345,37,8,100.0
564,44,5,100.0
339,45,1,89.2
91,34,0,47.56
366,42,2,91.69
454,2,4,59.92
427,18,6,86.43
508,9,2,67.71
34,26,8,86.89
205,14,3,56.31
80,10,1,23.15
561,25,2,85.03
387,23,4,84.59
1,12,2,30.9
389,31,4,93.39
565,36,3,100.0
105,3,2,20.97
476,12,5,84.33
401,8,7,86.9
555,33,3,100.0
161,36,8,100.0
201,6,5,62.76
269,0,4,42.13
270,11,2,48.32
455,20,4,87.12
461,10,4,77.36
251,43,3,87.93
295,43,5,100.0
337,43,2,91.61
52,13,0,15.41
216,33,6,95.82
187,33,6,92.31
379,24,3,89.75
492,3,8,99.16
40,25,1,39.9
156,15,0,30.03
14,9,2,28.72
64,44,6,100.0
520,1,8,83.15
343,34,1,77.31
128,18,5,64.45
471,5,2,51.44
62,18,4,56.08
138,7,8,80.42
498,13,2,70.67
592,9,0,62.56
391,2,4,66.9
418,37,0,74.52
288,28,7,94.71
378,14,6,88.67
489,22,1,71.03
230,22,8,91.3
40,17,4,49.29
27,45,6,98.07
134,18,3,51.22
200,27,0,45.25
32,25,7,77.17
47,9,0,14.48
502,3,2,49.04
